Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Network Address Translation Operation and Configuration,https://www.pluralsight.com/courses/network-address-translation-operation-configuration,Computer Science,"Network address translation (NAT) solves the problem of allowing a device with a non-routable, private IP address to get routed to the public Internet by allowing routers to manipulate the packet and segment headers. In this course, Network Address Translation Operation and Configuration, you'll learn all about how this works. First, you'll get an introduction to NAT, its history, and why it was developed. Next, you'll spend some time exploring the different types of NAT. Finally you'll learn how to implement and troubleshoot static NAT, dynamic NAT with overload, and port forwarding. By the end of this course, you will be able to implement all the different types of NAT in your environment.","Network address translation (NAT) solves the problem of allowing a device with a non-routable, private IP address to get routed to the public Internet by allowing routers to manipulate the packet and segment headers. In this course, Network Address Translation Operation and Configuration, you'll learn all about how this works. First, you'll get an introduction to NAT, its history, and why it was developed. Next, you'll spend some time exploring the different types of NAT. Finally you'll learn how to implement and troubleshoot static NAT, dynamic NAT with overload, and port forwarding. By the end of this course, you will be able to implement all the different types of NAT in your environment.",1,0,0,,5.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Broadening Android App Appeal and Reach,https://www.pluralsight.com/courses/android-broadening-app-appeal-reach,Computer Science,"The Android platform encompasses one of the largest user bases of any platform and provides those users with a rich device ecosystem filled with choices. In this course, Broadening Android App Appeal and Reach, you’ll learn how to succeed in this environment by creating apps that effectively engage the needs of these users and that adapt to their individual device capabilities. First, you will see how to use the Android resource system to create apps that dynamically adapt to device features and capabilities. Next, you’ll explore how to create locale-aware apps that have multiple-language support and display text in the user’s language of choice. After that, you’ll dive into creating custom views that allow your app to present a rich and engaging user experience. You’ll then learn to add Android Studio design-time configurability to your custom views and incorporate interactive features. Finally, you’ll gain an understanding of how to create apps that provide support for accessibility features such as non-touch navigation and screen readers. By the end of this course, you’ll have the skills and knowledge to create your own Android applications that that effectively engage and meet the needs of the rich ecosystem of Android devices and users.","The Android platform encompasses one of the largest user bases of any platform and provides those users with a rich device ecosystem filled with choices. In this course, Broadening Android App Appeal and Reach, you’ll learn how to succeed in this environment by creating apps that effectively engage the needs of these users and that adapt to their individual device capabilities. First, you will see how to use the Android resource system to create apps that dynamically adapt to device features and capabilities. Next, you’ll explore how to create locale-aware apps that have multiple-language support and display text in the user’s language of choice. After that, you’ll dive into creating custom views that allow your app to present a rich and engaging user experience. You’ll then learn to add Android Studio design-time configurability to your custom views and incorporate interactive features. Finally, you’ll gain an understanding of how to create apps that provide support for accessibility features such as non-touch navigation and screen readers. By the end of this course, you’ll have the skills and knowledge to create your own Android applications that that effectively engage and meet the needs of the rich ecosystem of Android devices and users.",2,0,0,,4.5,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Understanding and Using Essential Tools for Enterprise Linux 7,https://www.pluralsight.com/courses/essential-tools-red-hat-enterprise-linux,Computer Science,"Take your Linux sysadmin skills to the next level and get started on your Redhat® Certified System Administrator (RHCSA)/Redhat Certified Engineer (RHCE) learning path. This course, Understanding and Using Essential Tools for Enterprise Linux 7, introduces you to the essential tools needed to administer/manage a Red Hat® Enterprise Linux® (RHEL)-based system. First, you'll learn the core concepts of the bash shell. You'll then cover how to manage files, and finally you'll move onto text editing, which enable you to cruise the command line confidently! By the end of this course, you'll have improved your Linux sysadmin skills and you'll be one step closer to becoming an RHCSA.","Take your Linux sysadmin skills to the next level and get started on your Redhat® Certified System Administrator (RHCSA)/Redhat Certified Engineer (RHCE) learning path. This course, Understanding and Using Essential Tools for Enterprise Linux 7, introduces you to the essential tools needed to administer/manage a Red Hat® Enterprise Linux® (RHEL)-based system. First, you'll learn the core concepts of the bash shell. You'll then cover how to manage files, and finally you'll move onto text editing, which enable you to cruise the command line confidently! By the end of this course, you'll have improved your Linux sysadmin skills and you'll be one step closer to becoming an RHCSA.",0,0,0,,4.5,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Linux High Availability Cluster Management,https://www.pluralsight.com/courses/linux-high-availability-cluster-management-lpic-3,Computer Science,"Running server operations using clusters of either physical or virtual computers is all about improving performance over and above what you could expect from a single, high-powered server. But ""improving performance"" can mean different things in different contexts. This course, Linux High Availability Cluster Management, will bring many aspects of performance improvement to light. You'll be introduced to the principles of Linux-based HA and cluster management and the key tools currently in use in real-world
environments - including Linux Virtual Server (LVS), HAProxy, Pacemaker, DRBD, OCFS2, and GFS2. You'll learn how to intelligently spread workloads among diverse geographic and demand environments (load balancing). You'll also discover how to provide backup servers that can be quickly brought into service in the event a working node fails (failover). Finally, you'll also learn about optimizing the way your data tier is deployed, or allowing for fault tolerance through loosely coupled architectures. By the end of this course, you will be able to improve and manage many aspects of the performance of your local or cloud Linux deployments, and they'll be more reliable for it.","Running server operations using clusters of either physical or virtual computers is all about improving performance over and above what you could expect from a single, high-powered server. But ""improving performance"" can mean different things in different contexts. This course, Linux High Availability Cluster Management, will bring many aspects of performance improvement to light. You'll be introduced to the principles of Linux-based HA and cluster management and the key tools currently in use in real-world
environments - including Linux Virtual Server (LVS), HAProxy, Pacemaker, DRBD, OCFS2, and GFS2. You'll learn how to intelligently spread workloads among diverse geographic and demand environments (load balancing). You'll also discover how to provide backup servers that can be quickly brought into service in the event a working node fails (failover). Finally, you'll also learn about optimizing the way your data tier is deployed, or allowing for fault tolerance through loosely coupled architectures. By the end of this course, you will be able to improve and manage many aspects of the performance of your local or cloud Linux deployments, and they'll be more reliable for it.",1,0,0,,4.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Managing Software in Linux with Debian Software Management,https://www.pluralsight.com/courses/linux-managing-software-debian-software-management,Computer Science,,,0,0,0,,5.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Managing Windows 10/11 Desktops: Policies and Profiles,https://www.pluralsight.com/courses/modern-desktops-policies-profiles,Computer Science,,,1,0,0,,5.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Designing/Deploying Exchange 2016: Mailbox Databases,https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-mailbox-databases,Computer Science,,,1,0,0,,5.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Design a Database Environment with SQL Server 2014 (70-465),https://www.pluralsight.com/courses/design-database-environment-sql-server-2014-70-465,Computer Science,,,1,0,0,,4.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Linux Administration with sed and awk,https://www.pluralsight.com/courses/linux-administration-sed-awk,Computer Science,,,1,0,0,,4.5,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
Securing Windows Server 2016 Virtualization,https://www.pluralsight.com/courses/windows-server-2016-virtualization-securing,Computer Science,,,1,0,0,,4.0,Rs 1499/- per month,English,English,Pluralsight,Pluralsight,https://www.pluralsight.com/content/dam/pluralsight-creative-team/creative_portfolio/brand_strategic_refresh2022program/brand_strategic_refreshcreativeexploration2022project/final/pluralsight/horizontal/png/Pluralsight-Logo-Horizontal-ColorWhite-Fill.png
