job_role,skill_set
Data Analyst,"Statistical analysis,ANOVA,MySQL,SQL,Problem solving,Oracle,Regression analysis,Data manipulation,R,Seaborn,Azure,Power BI,SciPy,Matplotlib,Tableau,PostgreSQL,Hypothesis testing,AWS,Machine learning,Pandas,Data analysis,Data cleaning,Google Analytics,NumPy,SQL Server,Communication skills,Data visualization,Critical thinking,Statistics,Excel,Time series analysis,MongoDB,QlikView,Python,Looker"
Data Scientist,"Statistical analysis,Hadoop,SQL,Deep learning,Problem solving,TensorFlow,NLP,R,Azure,Experimentation,Model tuning,Statistical modeling,Scikit-learn,Data wrangling,Machine learning,AWS,Big data,Data analysis,Reinforcement learning,PyTorch,Communication skills,Data visualization,Keras,Spark,Python"
Software Developer,"API development,Docker,Windows,Kubernetes,MySQL,SQL,Web development,Problem solving,Git,Oracle,DevOps,Agile,macOS,Data structures,PHP,C#,Flask,JavaScript,React,C++,Mobile app development,Programming,Testing,Spring,Linux,Cloud computing,Angular,Ruby on Rails,Debugging,PostgreSQL,Unit testing,Kotlin,Swift,Objective-C,SQL Server,Unity,Ruby,.NET,Object-oriented programming (OOP),Node.js,MongoDB,Java,Django,Python,Algorithms"
Full Stack Developer,"Semantic UI,API development,MySQL,Git,Oracle,Agile,Ionic,Express,Vue.js,PHP,Python,JavaScript,REST APIs,React,Database management,CSS,Materialize,Front-end development,HTML,Angular,Ruby on Rails,PostgreSQL,Bootstrap,React Redux,SQL Server,Back-end development,ASP.NET,Node.js,jQuery,Agile methodologies,Vue.js Vuex,MongoDB,Express.js,React Native,Electron,Django,Flask"
Web Developer,"SQL,Responsive design,Git,Agile,Vue.js,PHP,JavaScript,React,REST APIs,CSS,HTML,Angular,Bootstrap,Web performance optimization,SEO,UI/UX design,Node.js,jQuery,Python"
Cloud Solutions Architect,"Data migration,Google Cloud Platform,Networking,Docker,AWS,Terraform,Kubernetes,Azure,Security,Architecture design,Cloud computing"
Cybersecurity Analyst,"Penetration testing,Firewall management,Firewalls,Nmap,Intrusion detection,Security analysis,SIEM,Metasploit,Vulnerability scanners,Risk assessment,Antivirus software,IDS/IPS"
Network Administrator,"Routing protocols,Active Directory,WAN,LAN,VPN,Windows Server,Problem solving,Security,TCP/IP,DHCP,DNS,Linux,Virtualization,Juniper,Firewalls,Cisco"
Network Architect,"Routing protocols,Active Directory,WAN,LAN,VPN,Windows Server,Problem solving,Security,TCP/IP,DHCP,DNS,Linux,Virtualization,Network design,Juniper,Firewalls,Cisco"
Database Administrator,"Database backup and recovery,PostgreSQL,MySQL,SQL,Windows Server,Problem solving,Oracle,Database security,MongoDB,Database performance tuning,Linux,Database design,Shell scripting"
DevOps Engineer,"Docker,Ubuntu,Proxy Servers,Kubernetes,Ansible,LVM,Git,RedHat,EC2,SSL/TLS,Monitoring and logging tools,Prometheus,Automation tools,Azure,Linux,Bash Shell,Cloud computing,Networking,OpenStack,AWS,Amazon S3,Continuous integration/continuous deployment (CI/CD),Grafana,TCP/IP,Fedora,Containerization technologies,Zabbix,Load Balancing,Perl,ELB,Firewalls,Google Cloud Platform,EFS,Ruby,Route 53,Vulnerability Scanning,Terraform,CentOS,Security and compliance,ELK Stack,Auto Scaling,Jenkins,DNS,Java,Scripting languages,Penetration Testing,Python"
Systems Analyst,"Requirement gathering,Waterfall,Systems analysis,Software development life cycle (SDLC),Agile,Process improvement"
Game Developer,"Gameplay mechanics,UI/UX design,Game engines and frameworks,3D modeling and animation,Project management,Programming languages,Game design principles,Game physics"
UI/UX Designer,"User interface design,Color theory,JavaScript,Usability testing,Prototyping,Typography,Information architecture,HTML/CSS,Visual design,Graphic design tools,Wireframing,Interaction design,Wireframing and prototyping tools,User experience design"
IT Manager,"Project management,IT governance and compliance,Risk management,Budgeting and financial management,IT strategy development,Vendor management"
