Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
AZ-104: Configure and manage virtual networks for Azure administrators,https://learn.microsoft.com/en-us/training/paths/az-104-manage-virtual-networks/,Computer Science,Learn how to configure key Azure network capabilities and prepare for Exam AZ-104: Microsoft Azure Administrator.,Learn how to configure key Azure network capabilities and prepare for Exam AZ-104: Microsoft Azure Administrator.,Introductory,0,1,0,5.0,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Take your first steps with C#,https://learn.microsoft.com/en-us/training/paths/get-started-c-sharp-part-1/,Computer Science,Interested in learning a programming language but aren't sure where to start?  Start here!  Learn the basic syntax and thought processes required to build simple applications using C#.,Interested in learning a programming language but aren't sure where to start?  Start here!  Learn the basic syntax and thought processes required to build simple applications using C#.,Introductory,0,1,0,4.5,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Implement a Windows Server hybrid cloud infrastructure,https://learn.microsoft.com/en-us/training/paths/implement-windows-server-hybrid-cloud-infrastructure/,Computer Science,"You will learn how to address problems relating to the migration of on-premises workloads into Azure. After completing the learning path, you will be able to implement a hybrid Azure infrastructure.","You will learn how to address problems relating to the migration of on-premises workloads into Azure. After completing the learning path, you will be able to implement a hybrid Azure infrastructure.",Introductory,0,1,0,5.0,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Create machine learning models,https://learn.microsoft.com/en-us/training/paths/create-machine-learn-models/,Computer Science,"Machine learning is the foundation for predictive modeling and artificial intelligence. Learn some of the core principles of machine learning and how to use common tools and frameworks to train, evaluate, and use machine learning models.","Machine learning is the foundation for predictive modeling and artificial intelligence. Learn some of the core principles of machine learning and how to use common tools and frameworks to train, evaluate, and use machine learning models.",Introductory,0,1,0,5.0,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Create serverless applications,https://learn.microsoft.com/en-us/training/paths/create-serverless-applications/,Computer Science,"In this learning path, discover Azure Functions that create event-driven, compute-on-demand systems using server-side logic to build serverless architectures.","In this learning path, discover Azure Functions that create event-driven, compute-on-demand systems using server-side logic to build serverless architectures.",Introductory,0,1,0,5.0,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,https://learn.microsoft.com/en-us/training/paths/create-no-code-predictive-models-azure-machine-learning/,Computer Science,Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,Introductory,0,1,0,4.045454545454546,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Manage data governance in Microsoft 365,https://learn.microsoft.com/en-us/training/paths/manage-data-governance-microsoft-365/,Computer Science,Manage data governance in Microsoft 365,Manage data governance in Microsoft 365,Introductory,0,1,0,4.0,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
Automate administrative tasks by using PowerShell,https://learn.microsoft.com/en-us/training/paths/powershell/,Computer Science,"PowerShell provides a large set of commands with which you can automate your tasks, like user management, CI/CD, managing cloud resources and much more. There's also testing capabilities via Pester and third-party modules you can install on your system,…","PowerShell provides a large set of commands with which you can automate your tasks, like user management, CI/CD, managing cloud resources and much more. There's also testing capabilities via Pester and third-party modules you can install on your system,…",Introductory,0,1,0,1.0,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
SC-200: Create detections and perform investigations using Microsoft Sentinel,https://learn.microsoft.com/en-us/training/paths/sc-200-create-detections-perform-investigations-azure-sentinel/,Computer Science,SC-200: Create detections and perform investigations using Microsoft Sentinel,SC-200: Create detections and perform investigations using Microsoft Sentinel,Introductory,0,1,0,4.045454545454546,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
AZ-400: Implement security and validate code bases for compliance,https://learn.microsoft.com/en-us/training/paths/az-400-implement-security-validate-code-bases-compliance/,Computer Science,AZ-400: Implement security and validate code bases for compliance,AZ-400: Implement security and validate code bases for compliance,Introductory,0,1,0,4.045454545454546,0,English,English,Microsoft,Microsoft,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31
